league,fixture_id,datetime,home_team,away_team,referee,round,season,time,date
DFB Pokal,564163,2020-07-04 18:00:00+00:00,Bayer Leverkusen,Bayern Munich,L. Presinský,Final,2019,18:00:00,2020-07-04
Primera Division,214342,2020-07-01 17:30:00+00:00,Alaves,Granada CF,,33,2019,17:30:00,2020-07-01
Primera Division,214350,2020-07-01 17:30:00+00:00,Valencia,Athletic Club,,33,2019,17:30:00,2020-07-01
Primera Division,214344,2020-07-01 20:00:00+00:00,Real Betis,Villarreal,,33,2019,20:00:00,2020-07-01
Primera Division,214351,2020-07-01 20:00:00+00:00,Valladolid,Levante,,33,2019,20:00:00,2020-07-01
Primera Division,214345,2020-07-02 17:30:00+00:00,Eibar,Osasuna,,33,2019,17:30:00,2020-07-02
Primera Division,214349,2020-07-02 17:30:00+00:00,Real Sociedad,Espanyol,,33,2019,17:30:00,2020-07-02
Primera Division,214348,2020-07-02 20:00:00+00:00,Real Madrid,Getafe,,33,2019,20:00:00,2020-07-02
Primera Division,214353,2020-07-03 20:00:00+00:00,Atletico Madrid,Mallorca,,34,2019,20:00:00,2020-07-03
Primera Division,214354,2020-07-04 15:00:00+00:00,Celta Vigo,Real Betis,,34,2019,15:00:00,2020-07-04
Primera Division,214361,2020-07-04 17:30:00+00:00,Valladolid,Alaves,,34,2019,17:30:00,2020-07-04
Primera Division,214356,2020-07-04 20:00:00+00:00,Granada CF,Valencia,,34,2019,20:00:00,2020-07-04
Primera Division,214352,2020-07-05 12:00:00+00:00,Athletic Club,Real Madrid,,34,2019,12:00:00,2020-07-05
Primera Division,214355,2020-07-05 15:00:00+00:00,Espanyol,Leganes,,34,2019,15:00:00,2020-07-05
Primera Division,214358,2020-07-05 17:30:00+00:00,Osasuna,Getafe,,34,2019,17:30:00,2020-07-05
Primera Division,214360,2020-07-05 20:00:00+00:00,Villarreal,Barcelona,,34,2019,20:00:00,2020-07-05
Primera Division,214357,2020-07-06 17:30:00+00:00,Levante,Real Sociedad,,34,2019,17:30:00,2020-07-06
Primera Division,214359,2020-07-06 20:00:00+00:00,Sevilla,Eibar,,34,2019,20:00:00,2020-07-06
Primera Division,214362,2020-07-07 22:00:00+00:00,Athletic Club,Sevilla,,35,2019,22:00:00,2020-07-07
Primera Division,214363,2020-07-07 22:00:00+00:00,Barcelona,Espanyol,,35,2019,22:00:00,2020-07-07
Primera Division,214364,2020-07-07 22:00:00+00:00,Real Betis,Osasuna,,35,2019,22:00:00,2020-07-07
Primera Division,214365,2020-07-07 22:00:00+00:00,Celta Vigo,Atletico Madrid,,35,2019,22:00:00,2020-07-07
Primera Division,214366,2020-07-07 22:00:00+00:00,Eibar,Leganes,,35,2019,22:00:00,2020-07-07
Primera Division,214367,2020-07-07 22:00:00+00:00,Getafe,Villarreal,,35,2019,22:00:00,2020-07-07
Primera Division,214368,2020-07-07 22:00:00+00:00,Mallorca,Levante,,35,2019,22:00:00,2020-07-07
Primera Division,214369,2020-07-07 22:00:00+00:00,Real Madrid,Alaves,,35,2019,22:00:00,2020-07-07
Primera Division,214370,2020-07-07 22:00:00+00:00,Real Sociedad,Granada CF,,35,2019,22:00:00,2020-07-07
Primera Division,214371,2020-07-07 22:00:00+00:00,Valencia,Valladolid,,35,2019,22:00:00,2020-07-07
Primera Division,214381,2020-07-11 22:00:00+00:00,Valladolid,Barcelona,,36,2019,22:00:00,2020-07-11
Primera Division,214380,2020-07-11 22:00:00+00:00,Villarreal,Real Sociedad,,36,2019,22:00:00,2020-07-11
Primera Division,214379,2020-07-11 22:00:00+00:00,Sevilla,Mallorca,,36,2019,22:00:00,2020-07-11
Primera Division,214378,2020-07-11 22:00:00+00:00,Osasuna,Celta Vigo,,36,2019,22:00:00,2020-07-11
Primera Division,214377,2020-07-11 22:00:00+00:00,Levante,Athletic Club,,36,2019,22:00:00,2020-07-11
Primera Division,214373,2020-07-11 22:00:00+00:00,Atletico Madrid,Real Betis,,36,2019,22:00:00,2020-07-11
Primera Division,214375,2020-07-11 22:00:00+00:00,Granada CF,Real Madrid,,36,2019,22:00:00,2020-07-11
Primera Division,214374,2020-07-11 22:00:00+00:00,Espanyol,Eibar,,36,2019,22:00:00,2020-07-11
Primera Division,214372,2020-07-11 22:00:00+00:00,Alaves,Getafe,,36,2019,22:00:00,2020-07-11
Primera Division,214376,2020-07-11 22:00:00+00:00,Leganes,Valencia,,36,2019,22:00:00,2020-07-11
Primera Division,214391,2020-07-14 22:00:00+00:00,Valencia,Espanyol,,37,2019,22:00:00,2020-07-14
Primera Division,214390,2020-07-14 22:00:00+00:00,Real Sociedad,Sevilla,,37,2019,22:00:00,2020-07-14
Primera Division,214388,2020-07-14 22:00:00+00:00,Mallorca,Granada CF,,37,2019,22:00:00,2020-07-14
Primera Division,214387,2020-07-14 22:00:00+00:00,Getafe,Atletico Madrid,,37,2019,22:00:00,2020-07-14
Primera Division,214389,2020-07-14 22:00:00+00:00,Real Madrid,Villarreal,,37,2019,22:00:00,2020-07-14
Primera Division,214385,2020-07-14 22:00:00+00:00,Celta Vigo,Levante,,37,2019,22:00:00,2020-07-14
Primera Division,214384,2020-07-14 22:00:00+00:00,Real Betis,Alaves,,37,2019,22:00:00,2020-07-14
Primera Division,214383,2020-07-14 22:00:00+00:00,Barcelona,Osasuna,,37,2019,22:00:00,2020-07-14
Primera Division,214382,2020-07-14 22:00:00+00:00,Athletic Club,Leganes,,37,2019,22:00:00,2020-07-14
Primera Division,214386,2020-07-14 22:00:00+00:00,Eibar,Valladolid,,37,2019,22:00:00,2020-07-14
Primera Division,214400,2020-07-18 22:00:00+00:00,Villarreal,Eibar,,38,2019,22:00:00,2020-07-18
Primera Division,214392,2020-07-18 22:00:00+00:00,Alaves,Barcelona,,38,2019,22:00:00,2020-07-18
Primera Division,214393,2020-07-18 22:00:00+00:00,Atletico Madrid,Real Sociedad,,38,2019,22:00:00,2020-07-18
Primera Division,214394,2020-07-18 22:00:00+00:00,Espanyol,Celta Vigo,,38,2019,22:00:00,2020-07-18
Primera Division,214395,2020-07-18 22:00:00+00:00,Granada CF,Athletic Club,,38,2019,22:00:00,2020-07-18
Primera Division,214396,2020-07-18 22:00:00+00:00,Leganes,Real Madrid,,38,2019,22:00:00,2020-07-18
Primera Division,214397,2020-07-18 22:00:00+00:00,Levante,Getafe,,38,2019,22:00:00,2020-07-18
Primera Division,214398,2020-07-18 22:00:00+00:00,Osasuna,Mallorca,,38,2019,22:00:00,2020-07-18
Primera Division,214399,2020-07-18 22:00:00+00:00,Sevilla,Valencia,,38,2019,22:00:00,2020-07-18
Primera Division,214401,2020-07-18 22:00:00+00:00,Valladolid,Real Betis,,38,2019,22:00:00,2020-07-18
Segunda Division,214799,2020-07-01 17:30:00+00:00,Almeria,Sporting Gijon,,37,2019,17:30:00,2020-07-01
Segunda Division,214804,2020-07-01 17:30:00+00:00,Lugo,Numancia,,37,2019,17:30:00,2020-07-01
Segunda Division,214806,2020-07-01 17:30:00+00:00,Oviedo,Mirandes,,37,2019,17:30:00,2020-07-01
Segunda Division,214801,2020-07-01 19:45:00+00:00,Extremadura,Racing Santander,,37,2019,19:45:00,2020-07-01
Segunda Division,214805,2020-07-01 19:45:00+00:00,Ponferradina,Fuenlabrada,,37,2019,19:45:00,2020-07-01
Segunda Division,214798,2020-07-02 17:30:00+00:00,Albacete,Alcorcon,,37,2019,17:30:00,2020-07-02
Segunda Division,214803,2020-07-02 17:30:00+00:00,Huesca,Las Palmas,,37,2019,17:30:00,2020-07-02
Segunda Division,214807,2020-07-02 19:45:00+00:00,Rayo Vallecano,Malaga,,37,2019,19:45:00,2020-07-02
Segunda Division,214802,2020-07-03 17:30:00+00:00,Girona,Zaragoza,,37,2019,17:30:00,2020-07-03
Segunda Division,214816,2020-07-04 15:00:00+00:00,Numancia,Extremadura,,38,2019,15:00:00,2020-07-04
Segunda Division,214817,2020-07-04 15:00:00+00:00,Racing Santander,Elche,,38,2019,15:00:00,2020-07-04
Segunda Division,214810,2020-07-04 17:30:00+00:00,Almeria,Tenerife,,38,2019,17:30:00,2020-07-04
Segunda Division,214811,2020-07-04 19:45:00+00:00,Cadiz,Oviedo,,38,2019,19:45:00,2020-07-04
Segunda Division,214813,2020-07-04 19:45:00+00:00,Fuenlabrada,Mirandes,,38,2019,19:45:00,2020-07-04
Segunda Division,214812,2020-07-05 15:00:00+00:00,Deportivo La Coruna,Huesca,,38,2019,15:00:00,2020-07-05
Segunda Division,214814,2020-07-05 17:30:00+00:00,Las Palmas,Ponferradina,,38,2019,17:30:00,2020-07-05
Segunda Division,214815,2020-07-05 17:30:00+00:00,Malaga,Albacete,,38,2019,17:30:00,2020-07-05
Segunda Division,214809,2020-07-05 19:45:00+00:00,Alcorcon,Lugo,,38,2019,19:45:00,2020-07-05
Segunda Division,214818,2020-07-06 17:30:00+00:00,Sporting Gijon,Girona,,38,2019,17:30:00,2020-07-06
Segunda Division,214819,2020-07-06 19:45:00+00:00,Zaragoza,Rayo Vallecano,,38,2019,19:45:00,2020-07-06
Segunda Division,214830,2020-07-07 22:00:00+00:00,Tenerife,Zaragoza,,39,2019,22:00:00,2020-07-07
Segunda Division,214829,2020-07-07 22:00:00+00:00,Rayo Vallecano,Numancia,,39,2019,22:00:00,2020-07-07
Segunda Division,214828,2020-07-07 22:00:00+00:00,Oviedo,Las Palmas,,39,2019,22:00:00,2020-07-07
Segunda Division,214827,2020-07-07 22:00:00+00:00,Ponferradina,Lugo,,39,2019,22:00:00,2020-07-07
Segunda Division,214825,2020-07-07 22:00:00+00:00,Mirandes,Elche,,39,2019,22:00:00,2020-07-07
Segunda Division,214826,2020-07-07 22:00:00+00:00,Malaga,Deportivo La Coruna,,39,2019,22:00:00,2020-07-07
Segunda Division,214823,2020-07-07 22:00:00+00:00,Girona,Almeria,,39,2019,22:00:00,2020-07-07
Segunda Division,214822,2020-07-07 22:00:00+00:00,Fuenlabrada,Racing Santander,,39,2019,22:00:00,2020-07-07
Segunda Division,214821,2020-07-07 22:00:00+00:00,Extremadura,Cadiz,,39,2019,22:00:00,2020-07-07
Segunda Division,214820,2020-07-07 22:00:00+00:00,Albacete,Sporting Gijon,,39,2019,22:00:00,2020-07-07
