,selected_columns
0,league
1,round
2,under_over
3,goals_home
4,goals_away
5,home_pred
6,draw_pred
7,away_pred
8,home_last5_forme
9,home_last5_att
10,home_last5_def
11,home_last5_goals
12,home_last5_goals_avg
13,home_last5_goals_against
14,home_last5_goals_against_avg
15,home_matches_played_home
16,home_matches_played_away
17,home_matches_played_total
18,home_matches_won_home
19,home_matches_won_away
20,home_matches_won_total
21,home_matches_draw_home
22,home_matches_draw_away
23,home_matches_draw_total
24,home_matches_lost_home
25,home_matches_lost_away
26,home_matches_lost_total
27,home_goals_fav_home
28,home_goals_fav_away
29,home_goals_fav_total
30,home_goals_ag_home
31,home_goals_ag_away
32,home_goals_ag_total
33,home_goalsavg_fav_home
34,home_goalsavg_fav_away
35,home_goalsavg_fav_total
36,home_goalsavg_ag_home
37,home_goalsavg_ag_away
38,home_goalsavg_ag_total
39,away_last5_forme
40,away_last5_att
41,away_last5_def
42,away_last5_goals
43,away_last5_goals_avg
44,away_last5_goals_against
45,away_last5_goals_against_avg
46,away_matches_played_home
47,away_matches_played_away
48,away_matches_played_total
49,away_matches_won_home
50,away_matches_won_away
51,away_matches_won_total
52,away_matches_draw_home
53,away_matches_draw_away
54,away_matches_draw_total
55,away_matches_lost_home
56,away_matches_lost_away
57,away_matches_lost_total
58,away_goals_fav_home
59,away_goals_fav_away
60,away_goals_fav_total
61,away_goals_ag_home
62,away_goals_ag_away
63,away_goals_ag_total
64,away_goalsavg_fav_home
65,away_goalsavg_fav_away
66,away_goalsavg_fav_total
67,away_goalsavg_ag_home
68,away_goalsavg_ag_away
69,away_goalsavg_ag_total
70,last_h2h_home_home_total
71,last_h2h_away_home_total
72,last_h2h_total
73,last_h2h_home_won_home
74,last_h2h_home_won_away
75,last_h2h_home_won_total
76,last_h2h_away_won_home
77,last_h2h_away_won_away
78,last_h2h_away_won_total
79,last_h2h_draw_home_home
80,last_h2h_draw_away_home
81,last_h2h_draw_away_total
82,comparison_forme_home
83,comparison_forme_away
84,comparison_att_home
85,comparison_att_away
86,comparison_def_home
87,comparison_def_away
88,comparison_fishlaw_home
89,comparison_fishlaw_away
90,comparison_h2h_home
91,comparison_h2h_away
92,comparison_goalsh2h_home
93,comparison_goalsh2h_away
94,advice_model
95,cum_ball_possession_home_total
96,cum_blocked_shots_home_total
97,cum_corner_kicks_home_total
98,cum_fouls_home_total
99,cum_goalkeeper_saves_home_total
100,cum_offsides_home_total
101,cum_passes_%_home_total
102,cum_passes_accurate_home_total
103,cum_red_cards_home_total
104,cum_shots_insidebox_home_total
105,cum_shots_off_goal_home_total
106,cum_shots_on_goal_home_total
107,cum_shots_outsidebox_home_total
108,cum_total_shots_home_total
109,cum_total_passes_home_total
110,cum_yellow_cards_home_total
111,cum_ball_possession_home_avg
112,cum_blocked_shots_home_avg
113,cum_corner_kicks_home_avg
114,cum_fouls_home_avg
115,cum_goalkeeper_saves_home_avg
116,cum_offsides_home_avg
117,cum_passes_%_home_avg
118,cum_passes_accurate_home_avg
119,cum_red_cards_home_avg
120,cum_shots_insidebox_home_avg
121,cum_shots_off_goal_home_avg
122,cum_shots_on_goal_home_avg
123,cum_shots_outsidebox_home_avg
124,cum_total_shots_home_avg
125,cum_total_passes_home_avg
126,cum_yellow_cards_home_avg
127,cum_ball_possession_home_by_minute
128,cum_blocked_shots_home_by_minute
129,cum_corner_kicks_home_by_minute
130,cum_fouls_home_by_minute
131,cum_goalkeeper_saves_home_by_minute
132,cum_offsides_home_by_minute
133,cum_passes_%_home_by_minute
134,cum_passes_accurate_home_by_minute
135,cum_red_cards_home_by_minute
136,cum_shots_insidebox_home_by_minute
137,cum_shots_off_goal_home_by_minute
138,cum_shots_on_goal_home_by_minute
139,cum_shots_outsidebox_home_by_minute
140,cum_total_shots_home_by_minute
141,cum_total_passes_home_by_minute
142,cum_yellow_cards_home_by_minute
143,cum_ball_possession_away_total
144,cum_blocked_shots_away_total
145,cum_corner_kicks_away_total
146,cum_fouls_away_total
147,cum_goalkeeper_saves_away_total
148,cum_offsides_away_total
149,cum_passes_%_away_total
150,cum_passes_accurate_away_total
151,cum_red_cards_away_total
152,cum_shots_insidebox_away_total
153,cum_shots_off_goal_away_total
154,cum_shots_on_goal_away_total
155,cum_shots_outsidebox_away_total
156,cum_total_shots_away_total
157,cum_total_passes_away_total
158,cum_yellow_cards_away_total
159,cum_ball_possession_away_avg
160,cum_blocked_shots_away_avg
161,cum_corner_kicks_away_avg
162,cum_fouls_away_avg
163,cum_goalkeeper_saves_away_avg
164,cum_offsides_away_avg
165,cum_passes_%_away_avg
166,cum_passes_accurate_away_avg
167,cum_red_cards_away_avg
168,cum_shots_insidebox_away_avg
169,cum_shots_off_goal_away_avg
170,cum_shots_on_goal_away_avg
171,cum_shots_outsidebox_away_avg
172,cum_total_shots_away_avg
173,cum_total_passes_away_avg
174,cum_yellow_cards_away_avg
175,cum_ball_possession_away_by_minute
176,cum_blocked_shots_away_by_minute
177,cum_corner_kicks_away_by_minute
178,cum_fouls_away_by_minute
179,cum_goalkeeper_saves_away_by_minute
180,cum_offsides_away_by_minute
181,cum_passes_%_away_by_minute
182,cum_passes_accurate_away_by_minute
183,cum_red_cards_away_by_minute
184,cum_shots_insidebox_away_by_minute
185,cum_shots_off_goal_away_by_minute
186,cum_shots_on_goal_away_by_minute
187,cum_shots_outsidebox_away_by_minute
188,cum_total_shots_away_by_minute
189,cum_total_passes_away_by_minute
190,cum_yellow_cards_away_by_minute
