,selected_columns
0,league
1,round
2,goals_home
3,goals_away
4,home_pred
5,draw_pred
6,away_pred
7,home_last5_forme
8,home_last5_att
9,home_last5_def
10,home_last5_goals
11,home_last5_goals_avg
12,home_last5_goals_against
13,home_last5_goals_against_avg
14,home_matches_played_home
15,home_matches_played_away
16,home_matches_played_total
17,home_matches_won_home
18,home_matches_won_away
19,home_matches_won_total
20,home_matches_draw_home
21,home_matches_draw_away
22,home_matches_draw_total
23,home_matches_lost_home
24,home_matches_lost_away
25,home_matches_lost_total
26,home_goals_fav_home
27,home_goals_fav_away
28,home_goals_fav_total
29,home_goals_ag_home
30,home_goals_ag_away
31,home_goals_ag_total
32,home_goalsavg_fav_home
33,home_goalsavg_fav_away
34,home_goalsavg_fav_total
35,home_goalsavg_ag_home
36,home_goalsavg_ag_away
37,home_goalsavg_ag_total
38,away_last5_forme
39,away_last5_att
40,away_last5_def
41,away_last5_goals
42,away_last5_goals_avg
43,away_last5_goals_against
44,away_last5_goals_against_avg
45,away_matches_played_home
46,away_matches_played_away
47,away_matches_played_total
48,away_matches_won_home
49,away_matches_won_away
50,away_matches_won_total
51,away_matches_draw_home
52,away_matches_draw_away
53,away_matches_draw_total
54,away_matches_lost_home
55,away_matches_lost_away
56,away_matches_lost_total
57,away_goals_fav_home
58,away_goals_fav_away
59,away_goals_fav_total
60,away_goals_ag_home
61,away_goals_ag_away
62,away_goals_ag_total
63,away_goalsavg_fav_home
64,away_goalsavg_fav_away
65,away_goalsavg_fav_total
66,away_goalsavg_ag_home
67,away_goalsavg_ag_away
68,away_goalsavg_ag_total
69,last_h2h_home_home_total
70,last_h2h_away_home_total
71,last_h2h_total
72,last_h2h_home_won_home
73,last_h2h_home_won_away
74,last_h2h_home_won_total
75,last_h2h_away_won_home
76,last_h2h_away_won_away
77,last_h2h_away_won_total
78,last_h2h_draw_home_home
79,last_h2h_draw_away_home
80,last_h2h_draw_away_total
81,comparison_forme_home
82,comparison_forme_away
83,comparison_att_home
84,comparison_att_away
85,comparison_def_home
86,comparison_def_away
87,comparison_fishlaw_home
88,comparison_fishlaw_away
89,comparison_h2h_home
90,comparison_h2h_away
91,comparison_goalsh2h_home
92,comparison_goalsh2h_away
93,advice_model
94,cum_ball_possession_home_total
95,cum_blocked_shots_home_total
96,cum_corner_kicks_home_total
97,cum_fouls_home_total
98,cum_goalkeeper_saves_home_total
99,cum_offsides_home_total
100,cum_passes_%_home_total
101,cum_passes_accurate_home_total
102,cum_red_cards_home_total
103,cum_shots_insidebox_home_total
104,cum_shots_off_goal_home_total
105,cum_shots_on_goal_home_total
106,cum_shots_outsidebox_home_total
107,cum_total_shots_home_total
108,cum_total_passes_home_total
109,cum_yellow_cards_home_total
110,cum_ball_possession_home_avg
111,cum_blocked_shots_home_avg
112,cum_corner_kicks_home_avg
113,cum_fouls_home_avg
114,cum_goalkeeper_saves_home_avg
115,cum_offsides_home_avg
116,cum_passes_%_home_avg
117,cum_passes_accurate_home_avg
118,cum_red_cards_home_avg
119,cum_shots_insidebox_home_avg
120,cum_shots_off_goal_home_avg
121,cum_shots_on_goal_home_avg
122,cum_shots_outsidebox_home_avg
123,cum_total_shots_home_avg
124,cum_total_passes_home_avg
125,cum_yellow_cards_home_avg
126,cum_ball_possession_home_by_minute
127,cum_blocked_shots_home_by_minute
128,cum_corner_kicks_home_by_minute
129,cum_fouls_home_by_minute
130,cum_goalkeeper_saves_home_by_minute
131,cum_offsides_home_by_minute
132,cum_passes_%_home_by_minute
133,cum_passes_accurate_home_by_minute
134,cum_red_cards_home_by_minute
135,cum_shots_insidebox_home_by_minute
136,cum_shots_off_goal_home_by_minute
137,cum_shots_on_goal_home_by_minute
138,cum_shots_outsidebox_home_by_minute
139,cum_total_shots_home_by_minute
140,cum_total_passes_home_by_minute
141,cum_yellow_cards_home_by_minute
142,cum_ball_possession_away_total
143,cum_blocked_shots_away_total
144,cum_corner_kicks_away_total
145,cum_fouls_away_total
146,cum_goalkeeper_saves_away_total
147,cum_offsides_away_total
148,cum_passes_%_away_total
149,cum_passes_accurate_away_total
150,cum_red_cards_away_total
151,cum_shots_insidebox_away_total
152,cum_shots_off_goal_away_total
153,cum_shots_on_goal_away_total
154,cum_shots_outsidebox_away_total
155,cum_total_shots_away_total
156,cum_total_passes_away_total
157,cum_yellow_cards_away_total
158,cum_ball_possession_away_avg
159,cum_blocked_shots_away_avg
160,cum_corner_kicks_away_avg
161,cum_fouls_away_avg
162,cum_goalkeeper_saves_away_avg
163,cum_offsides_away_avg
164,cum_passes_%_away_avg
165,cum_passes_accurate_away_avg
166,cum_red_cards_away_avg
167,cum_shots_insidebox_away_avg
168,cum_shots_off_goal_away_avg
169,cum_shots_on_goal_away_avg
170,cum_shots_outsidebox_away_avg
171,cum_total_shots_away_avg
172,cum_total_passes_away_avg
173,cum_yellow_cards_away_avg
174,cum_ball_possession_away_by_minute
175,cum_blocked_shots_away_by_minute
176,cum_corner_kicks_away_by_minute
177,cum_fouls_away_by_minute
178,cum_goalkeeper_saves_away_by_minute
179,cum_offsides_away_by_minute
180,cum_passes_%_away_by_minute
181,cum_passes_accurate_away_by_minute
182,cum_red_cards_away_by_minute
183,cum_shots_insidebox_away_by_minute
184,cum_shots_off_goal_away_by_minute
185,cum_shots_on_goal_away_by_minute
186,cum_shots_outsidebox_away_by_minute
187,cum_total_shots_away_by_minute
188,cum_total_passes_away_by_minute
189,cum_yellow_cards_away_by_minute
190,goals_home/goals_away
191,home_pred/away_pred
192,home_last5_forme/away_last5_forme
193,home_last5_att/away_last5_att
194,home_last5_def/away_last5_def
195,home_last5_goals/away_last5_goals
196,home_last5_goals_avg/away_last5_goals_avg
197,home_last5_goals_against/away_last5_goals_against
198,home_last5_goals_against_avg/away_last5_goals_against_avg
199,home_matches_played_home/home_matches_played_away
200,home_matches_played_total/away_matches_played_total
201,home_matches_won_home/home_matches_won_away
202,home_matches_won_total/away_matches_won_total
203,home_matches_draw_home/home_matches_draw_away
204,home_matches_draw_total/away_matches_draw_total
205,home_matches_lost_home/home_matches_lost_away
206,home_matches_lost_total/away_matches_lost_total
207,home_goals_fav_home/home_goals_fav_away
208,home_goals_fav_total/away_goals_fav_total
209,home_goals_ag_home/home_goals_ag_away
210,home_goals_ag_total/away_goals_ag_total
211,home_goalsavg_fav_home/home_goalsavg_fav_away
212,home_goalsavg_fav_total/away_goalsavg_fav_total
213,home_goalsavg_ag_home/home_goalsavg_ag_away
214,home_goalsavg_ag_total/away_goalsavg_ag_total
215,last_h2h_home_home_total/last_h2h_away_home_total
216,last_h2h_home_won_home/last_h2h_home_won_away
217,last_h2h_home_won_total/last_h2h_away_won_total
218,last_h2h_draw_home_home/last_h2h_draw_away_home
219,comparison_forme_home/comparison_forme_away
220,comparison_att_home/comparison_att_away
221,comparison_def_home/comparison_def_away
222,comparison_fishlaw_home/comparison_fishlaw_away
223,comparison_h2h_home/comparison_h2h_away
224,comparison_goalsh2h_home/comparison_goalsh2h_away
225,cum_ball_possession_home_total/cum_ball_possession_away_total
226,cum_blocked_shots_home_total/cum_blocked_shots_away_total
227,cum_corner_kicks_home_total/cum_corner_kicks_away_total
228,cum_fouls_home_total/cum_fouls_away_total
229,cum_goalkeeper_saves_home_total/cum_goalkeeper_saves_away_total
230,cum_offsides_home_total/cum_offsides_away_total
231,cum_passes_%_home_total/cum_passes_%_away_total
232,cum_passes_accurate_home_total/cum_passes_accurate_away_total
233,cum_red_cards_home_total/cum_red_cards_away_total
234,cum_shots_insidebox_home_total/cum_shots_insidebox_away_total
235,cum_shots_off_goal_home_total/cum_shots_off_goal_away_total
236,cum_shots_on_goal_home_total/cum_shots_on_goal_away_total
237,cum_shots_outsidebox_home_total/cum_shots_outsidebox_away_total
238,cum_total_shots_home_total/cum_total_shots_away_total
239,cum_total_passes_home_total/cum_total_passes_away_total
240,cum_yellow_cards_home_total/cum_yellow_cards_away_total
241,cum_ball_possession_home_avg/cum_ball_possession_away_avg
242,cum_blocked_shots_home_avg/cum_blocked_shots_away_avg
243,cum_corner_kicks_home_avg/cum_corner_kicks_away_avg
244,cum_fouls_home_avg/cum_fouls_away_avg
245,cum_goalkeeper_saves_home_avg/cum_goalkeeper_saves_away_avg
246,cum_offsides_home_avg/cum_offsides_away_avg
247,cum_passes_%_home_avg/cum_passes_%_away_avg
248,cum_passes_accurate_home_avg/cum_passes_accurate_away_avg
249,cum_red_cards_home_avg/cum_red_cards_away_avg
250,cum_shots_insidebox_home_avg/cum_shots_insidebox_away_avg
251,cum_shots_off_goal_home_avg/cum_shots_off_goal_away_avg
252,cum_shots_on_goal_home_avg/cum_shots_on_goal_away_avg
253,cum_shots_outsidebox_home_avg/cum_shots_outsidebox_away_avg
254,cum_total_shots_home_avg/cum_total_shots_away_avg
255,cum_total_passes_home_avg/cum_total_passes_away_avg
256,cum_yellow_cards_home_avg/cum_yellow_cards_away_avg
257,cum_ball_possession_home_by_minute/cum_ball_possession_away_by_minute
258,cum_blocked_shots_home_by_minute/cum_blocked_shots_away_by_minute
259,cum_corner_kicks_home_by_minute/cum_corner_kicks_away_by_minute
260,cum_fouls_home_by_minute/cum_fouls_away_by_minute
261,cum_goalkeeper_saves_home_by_minute/cum_goalkeeper_saves_away_by_minute
262,cum_offsides_home_by_minute/cum_offsides_away_by_minute
263,cum_passes_%_home_by_minute/cum_passes_%_away_by_minute
264,cum_passes_accurate_home_by_minute/cum_passes_accurate_away_by_minute
265,cum_red_cards_home_by_minute/cum_red_cards_away_by_minute
266,cum_shots_insidebox_home_by_minute/cum_shots_insidebox_away_by_minute
267,cum_shots_off_goal_home_by_minute/cum_shots_off_goal_away_by_minute
268,cum_shots_on_goal_home_by_minute/cum_shots_on_goal_away_by_minute
269,cum_shots_outsidebox_home_by_minute/cum_shots_outsidebox_away_by_minute
270,cum_total_shots_home_by_minute/cum_total_shots_away_by_minute
271,cum_total_passes_home_by_minute/cum_total_passes_away_by_minute
272,cum_yellow_cards_home_by_minute/cum_yellow_cards_away_by_minute
273,hour
274,year
275,weekday
