ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.62,5.0,4.0,13.0,2.0,2.0,0.89,609.0,0.0,7.0,5.0,7.0,10.0,17.0,685.0,1.0,0.38,1.0,1.0,11.0,4.0,0.0,0.78,320.0,0.0,5.0,2.0,2.0,0.0,5.0,408.0,0.0,9045
0.39,0.0,3.0,7.0,9.0,4.0,0.78,335.0,0.0,10.0,8.0,4.0,2.0,12.0,428.0,2.0,0.61,1.0,6.0,9.0,3.0,1.0,0.87,578.0,1.0,13.0,9.0,12.0,10.0,22.0,667.0,2.0,9044
0.56,4.0,4.0,14.0,0.0,6.0,0.82,373.0,0.0,9.0,6.0,6.0,7.0,16.0,454.0,1.0,0.44,2.0,1.0,16.0,6.0,1.0,0.74,264.0,0.0,3.0,3.0,1.0,3.0,6.0,357.0,2.0,9043
0.4,4.0,0.0,18.0,2.0,2.0,0.8,282.0,0.0,7.0,6.0,3.0,6.0,13.0,354.0,2.0,0.6,2.0,8.0,10.0,2.0,5.0,0.84,447.0,0.0,2.0,4.0,3.0,7.0,9.0,529.0,1.0,9036
0.19,1.0,2.0,9.0,7.0,5.0,0.6,103.0,1.0,5.0,3.0,2.0,1.0,6.0,172.0,1.0,0.81,3.0,9.0,14.0,2.0,4.0,0.9,653.0,0.0,12.0,6.0,10.0,7.0,19.0,722.0,3.0,9037
0.51,2.0,9.0,7.0,3.0,1.0,0.84,457.0,0.0,11.0,8.0,6.0,5.0,16.0,541.0,0.0,0.49,3.0,7.0,13.0,3.0,1.0,0.85,425.0,0.0,4.0,9.0,3.0,11.0,15.0,501.0,1.0,9038
0.53,3.0,9.0,20.0,2.0,2.0,0.86,422.0,0.0,11.0,9.0,10.0,11.0,22.0,493.0,2.0,0.47,3.0,5.0,4.0,10.0,1.0,0.8,353.0,0.0,6.0,4.0,2.0,3.0,9.0,440.0,2.0,9039
0.64,6.0,6.0,10.0,6.0,2.0,0.87,541.0,0.0,10.0,4.0,6.0,6.0,16.0,623.0,1.0,0.36,2.0,7.0,10.0,4.0,3.0,0.79,262.0,0.0,8.0,9.0,7.0,10.0,18.0,333.0,2.0,9040
0.46,2.0,2.0,16.0,4.0,0.0,0.81,320.0,0.0,5.0,9.0,3.0,9.0,14.0,393.0,2.0,0.54,2.0,5.0,28.0,3.0,1.0,0.82,361.0,0.0,5.0,6.0,4.0,7.0,12.0,438.0,3.0,9041
0.52,6.0,5.0,11.0,1.0,1.0,0.81,411.0,0.0,10.0,7.0,5.0,8.0,18.0,507.0,2.0,0.48,2.0,4.0,10.0,4.0,2.0,0.78,357.0,0.0,7.0,5.0,3.0,3.0,10.0,459.0,2.0,9042
0.49,3.0,6.0,10.0,3.0,4.0,0.8,335.0,0.0,10.0,9.0,6.0,8.0,18.0,421.0,1.0,0.51,4.0,2.0,13.0,6.0,2.0,0.78,346.0,0.0,9.0,6.0,4.0,5.0,14.0,445.0,3.0,9034
0.42,1.0,1.0,13.0,4.0,2.0,0.86,392.0,0.0,7.0,5.0,3.0,3.0,9.0,455.0,4.0,0.58,5.0,4.0,8.0,2.0,0.0,0.88,544.0,0.0,11.0,5.0,7.0,6.0,17.0,620.0,3.0,9035
0.49,9.0,12.0,12.0,5.0,2.0,0.84,386.0,0.0,9.0,6.0,3.0,9.0,18.0,458.0,1.0,0.51,2.0,6.0,8.0,1.0,5.0,0.86,411.0,0.0,11.0,4.0,8.0,3.0,14.0,476.0,1.0,9033
0.5,3.0,5.0,13.0,2.0,0.0,0.81,297.0,0.0,10.0,6.0,5.0,4.0,14.0,368.0,1.0,0.5,9.0,11.0,16.0,2.0,2.0,0.81,273.0,0.0,5.0,8.0,2.0,14.0,19.0,339.0,1.0,9032
0.49,5.0,2.0,20.0,3.0,2.0,0.84,349.0,0.0,7.0,5.0,5.0,8.0,15.0,416.0,2.0,0.51,4.0,6.0,17.0,3.0,2.0,0.82,353.0,0.0,8.0,6.0,4.0,6.0,14.0,433.0,1.0,9026
