ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.57,3.0,11.0,9.0,4.0,0.0,0.81,387.0,0.0,11.0,5.0,7.0,4.0,15.0,477.0,0.0,0.43,2.0,2.0,9.0,4.0,5.0,0.77,278.0,0.0,8.0,5.0,5.0,4.0,12.0,363.0,2.0,157015
0.42,0.0,1.0,6.0,4.0,2.0,0.81,325.0,0.0,4.0,2.0,3.0,1.0,5.0,403.0,2.0,0.58,2.0,1.0,13.0,3.0,4.0,0.86,473.0,0.0,10.0,3.0,9.0,4.0,14.0,547.0,2.0,157016
0.52,3.0,3.0,10.0,2.0,1.0,0.79,384.0,0.0,7.0,7.0,3.0,6.0,13.0,485.0,2.0,0.48,1.0,4.0,19.0,2.0,1.0,0.78,332.0,0.0,3.0,4.0,3.0,5.0,8.0,428.0,1.0,157017
0.46,2.0,2.0,6.0,3.0,5.0,0.55,183.0,0.0,8.0,4.0,4.0,2.0,10.0,332.0,0.0,0.54,3.0,7.0,12.0,1.0,1.0,0.63,249.0,0.0,5.0,5.0,3.0,6.0,11.0,393.0,0.0,157018
0.35,4.0,6.0,16.0,2.0,4.0,0.6,161.0,0.0,6.0,0.0,2.0,0.0,6.0,268.0,2.0,0.65,4.0,2.0,14.0,2.0,0.0,0.8,401.0,1.0,7.0,3.0,3.0,3.0,10.0,500.0,3.0,157019
0.48,4.0,5.0,15.0,1.0,0.0,0.79,325.0,0.0,4.0,4.0,3.0,7.0,11.0,414.0,0.0,0.52,0.0,2.0,11.0,3.0,3.0,0.79,347.0,0.0,3.0,2.0,3.0,2.0,5.0,442.0,1.0,157021
0.7,10.0,14.0,13.0,3.0,1.0,0.9,526.0,0.0,17.0,14.0,7.0,14.0,31.0,587.0,1.0,0.3,1.0,0.0,9.0,3.0,0.0,0.78,200.0,0.0,4.0,2.0,4.0,3.0,7.0,256.0,0.0,157022
0.7,5.0,12.0,3.0,2.0,0.0,0.85,564.0,0.0,3.0,10.0,1.0,13.0,16.0,665.0,0.0,0.3,2.0,3.0,13.0,1.0,1.0,0.69,202.0,0.0,5.0,4.0,2.0,3.0,8.0,291.0,2.0,157020
0.38,3.0,5.0,12.0,1.0,1.0,0.76,287.0,0.0,4.0,4.0,2.0,5.0,9.0,378.0,1.0,0.62,2.0,3.0,7.0,2.0,3.0,0.85,523.0,0.0,7.0,4.0,2.0,1.0,8.0,616.0,3.0,157023
0.46,4.0,3.0,15.0,7.0,2.0,0.81,363.0,0.0,7.0,2.0,5.0,4.0,11.0,449.0,3.0,0.54,4.0,5.0,13.0,1.0,0.0,0.85,442.0,0.0,9.0,7.0,7.0,9.0,18.0,523.0,4.0,157024
