ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.44,1.0,1.0,15.0,1.0,4.0,0.69,255.0,0.0,10.0,5.0,7.0,3.0,13.0,368.0,2.0,0.56,1.0,2.0,21.0,4.0,3.0,0.72,320.0,1.0,5.0,5.0,2.0,3.0,8.0,443.0,3.0,291094
0.31,0.0,1.0,14.0,4.0,2.0,0.59,174.0,,2.0,1.0,2.0,1.0,3.0,297.0,2.0,0.69,4.0,5.0,6.0,3.0,2.0,0.84,542.0,,13.0,9.0,9.0,9.0,22.0,649.0,1.0,291095
0.35,1.0,2.0,19.0,6.0,3.0,0.68,253.0,1.0,3.0,2.0,2.0,2.0,5.0,374.0,8.0,0.65,4.0,7.0,14.0,0.0,5.0,0.84,547.0,0.0,14.0,14.0,10.0,14.0,28.0,649.0,2.0,291096
0.35,0.0,1.0,13.0,1.0,0.0,0.8,266.0,,0.0,3.0,2.0,5.0,5.0,332.0,1.0,0.65,6.0,11.0,9.0,2.0,6.0,0.91,531.0,,15.0,12.0,4.0,7.0,22.0,582.0,0.0,291097
0.57,0.0,5.0,12.0,3.0,2.0,0.84,573.0,,7.0,12.0,5.0,10.0,17.0,682.0,1.0,0.43,6.0,10.0,16.0,4.0,0.0,0.79,366.0,,15.0,13.0,4.0,8.0,23.0,461.0,2.0,291148
0.47,0.0,3.0,15.0,8.0,7.0,0.67,231.0,,1.0,0.0,1.0,0.0,1.0,343.0,2.0,0.53,8.0,10.0,22.0,1.0,5.0,0.74,255.0,,21.0,7.0,10.0,4.0,25.0,345.0,2.0,291098
0.22,0.0,0.0,6.0,12.0,0.0,0.54,111.0,,1.0,1.0,1.0,1.0,2.0,205.0,1.0,0.78,5.0,13.0,4.0,1.0,3.0,0.9,621.0,,29.0,21.0,17.0,14.0,43.0,689.0,0.0,291099
0.31,0.0,3.0,20.0,2.0,0.0,0.58,148.0,,0.0,3.0,0.0,3.0,3.0,254.0,4.0,0.69,5.0,2.0,12.0,0.0,3.0,0.84,479.0,,8.0,6.0,5.0,8.0,16.0,569.0,1.0,291100
0.33,5.0,5.0,16.0,2.0,2.0,0.62,152.0,,12.0,8.0,5.0,6.0,18.0,247.0,0.0,0.67,2.0,5.0,13.0,5.0,1.0,0.82,401.0,,5.0,7.0,2.0,6.0,11.0,491.0,3.0,291101
0.21,2.0,4.0,10.0,4.0,1.0,0.68,144.0,,3.0,6.0,1.0,6.0,9.0,212.0,1.0,0.79,6.0,8.0,13.0,1.0,1.0,0.92,714.0,,15.0,8.0,6.0,5.0,20.0,774.0,2.0,291102
0.39,2.0,3.0,10.0,8.0,3.0,0.73,222.0,,4.0,6.0,1.0,5.0,9.0,306.0,1.0,0.61,5.0,5.0,12.0,1.0,4.0,0.85,403.0,,18.0,5.0,14.0,6.0,24.0,475.0,0.0,291142
0.23,1.0,0.0,13.0,6.0,1.0,0.49,86.0,,0.0,3.0,0.0,4.0,4.0,174.0,2.0,0.77,9.0,11.0,14.0,0.0,2.0,0.83,459.0,,15.0,9.0,8.0,11.0,26.0,553.0,3.0,291143
0.28,2.0,1.0,11.0,2.0,1.0,0.72,67.0,,0.0,1.0,0.0,3.0,3.0,93.0,3.0,0.72,2.0,2.0,0.0,0.0,3.0,0.88,209.0,,8.0,2.0,7.0,3.0,11.0,238.0,1.0,291145
0.44,1.0,2.0,16.0,1.0,3.0,0.62,217.0,,4.0,3.0,2.0,2.0,6.0,351.0,,0.56,2.0,4.0,18.0,2.0,4.0,0.74,325.0,,11.0,9.0,3.0,3.0,14.0,440.0,,291146
0.36,0.0,2.0,16.0,3.0,4.0,0.73,279.0,,2.0,5.0,0.0,3.0,5.0,381.0,2.0,0.64,3.0,2.0,8.0,0.0,1.0,0.86,581.0,,14.0,9.0,6.0,4.0,18.0,675.0,0.0,291144
