ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.61,8.0,8.0,12.0,6.0,1.0,0.79,429.0,0.0,11.0,3.0,6.0,6.0,17.0,543.0,1.0,0.39,4.0,2.0,10.0,5.0,4.0,0.68,227.0,0.0,11.0,5.0,7.0,5.0,16.0,334.0,1.0,11531
0.45,2.0,3.0,14.0,2.0,1.0,0.61,194.0,0.0,6.0,6.0,4.0,6.0,12.0,319.0,0.0,0.55,2.0,3.0,21.0,4.0,0.0,0.71,294.0,0.0,6.0,8.0,3.0,7.0,13.0,414.0,3.0,11530
0.53,7.0,7.0,14.0,1.0,5.0,0.7,252.0,1.0,13.0,7.0,5.0,6.0,19.0,361.0,3.0,0.47,5.0,4.0,11.0,3.0,2.0,0.66,209.0,0.0,6.0,6.0,2.0,7.0,13.0,315.0,3.0,11528
0.51,1.0,2.0,14.0,1.0,6.0,0.68,243.0,0.0,4.0,4.0,5.0,6.0,10.0,359.0,1.0,0.49,5.0,5.0,24.0,3.0,1.0,0.67,219.0,0.0,5.0,4.0,1.0,5.0,10.0,326.0,4.0,11529
0.48,6.0,5.0,11.0,3.0,2.0,0.79,325.0,0.0,7.0,3.0,3.0,6.0,12.0,413.0,0.0,0.52,3.0,3.0,14.0,1.0,2.0,0.78,340.0,0.0,12.0,8.0,3.0,2.0,14.0,434.0,3.0,11527
0.62,3.0,7.0,12.0,3.0,2.0,0.85,432.0,0.0,10.0,7.0,8.0,8.0,18.0,511.0,1.0,0.38,5.0,3.0,17.0,7.0,3.0,0.77,236.0,1.0,7.0,7.0,3.0,8.0,15.0,306.0,4.0,11525
0.6,7.0,12.0,20.0,2.0,1.0,0.7,293.0,0.0,11.0,10.0,3.0,9.0,20.0,421.0,2.0,0.4,3.0,2.0,22.0,1.0,0.0,0.58,169.0,0.0,5.0,3.0,4.0,5.0,10.0,289.0,3.0,11526
0.54,2.0,5.0,19.0,8.0,1.0,0.77,306.0,0.0,5.0,8.0,4.0,9.0,14.0,395.0,2.0,0.46,1.0,5.0,17.0,2.0,0.0,0.72,241.0,1.0,9.0,2.0,10.0,4.0,13.0,336.0,4.0,11524
0.51,3.0,3.0,19.0,5.0,6.0,0.69,247.0,0.0,6.0,3.0,3.0,3.0,9.0,360.0,2.0,0.49,6.0,4.0,17.0,2.0,1.0,0.63,215.0,0.0,8.0,1.0,4.0,3.0,11.0,339.0,2.0,11522
0.54,0.0,3.0,17.0,3.0,1.0,0.78,349.0,0.0,10.0,7.0,8.0,5.0,15.0,448.0,2.0,0.46,1.0,0.0,16.0,4.0,5.0,0.66,244.0,0.0,10.0,5.0,6.0,3.0,12.0,371.0,2.0,11523
0.3,0.0,3.0,19.0,4.0,5.0,0.63,155.0,0.0,4.0,5.0,2.0,3.0,7.0,246.0,3.0,0.7,2.0,3.0,11.0,1.0,4.0,0.82,460.0,0.0,4.0,3.0,5.0,6.0,10.0,560.0,1.0,11521
0.68,4.0,5.0,13.0,6.0,4.0,0.86,501.0,0.0,6.0,5.0,2.0,5.0,11.0,583.0,0.0,0.32,4.0,4.0,15.0,1.0,3.0,0.64,167.0,0.0,19.0,13.0,6.0,4.0,23.0,260.0,1.0,12462
0.46,5.0,6.0,12.0,2.0,0.0,0.64,199.0,0.0,14.0,11.0,4.0,6.0,20.0,310.0,1.0,0.54,2.0,7.0,11.0,2.0,1.0,0.7,263.0,0.0,4.0,5.0,4.0,7.0,11.0,378.0,0.0,12463
0.45,2.0,2.0,14.0,2.0,4.0,0.74,281.0,0.0,6.0,5.0,5.0,6.0,12.0,381.0,2.0,0.55,5.0,7.0,15.0,4.0,1.0,0.79,360.0,0.0,10.0,9.0,3.0,7.0,17.0,458.0,2.0,11520
0.34,2.0,2.0,12.0,2.0,2.0,0.73,239.0,0.0,6.0,5.0,2.0,4.0,9.0,329.0,0.0,0.66,2.0,6.0,19.0,1.0,0.0,0.86,534.0,0.0,2.0,8.0,2.0,10.0,12.0,624.0,2.0,11519
0.4,3.0,6.0,6.0,5.0,8.0,0.64,232.0,0.0,4.0,4.0,2.0,5.0,9.0,360.0,0.0,0.6,2.0,3.0,9.0,1.0,1.0,0.76,400.0,0.0,7.0,6.0,5.0,6.0,13.0,524.0,0.0,12460
0.48,3.0,4.0,14.0,2.0,3.0,0.77,318.0,0.0,4.0,5.0,2.0,6.0,10.0,413.0,1.0,0.52,0.0,4.0,13.0,1.0,2.0,0.8,363.0,0.0,2.0,3.0,2.0,3.0,5.0,451.0,2.0,12461
0.53,2.0,4.0,13.0,6.0,1.0,0.63,222.0,0.0,1.0,1.0,0.0,2.0,3.0,355.0,1.0,0.47,6.0,6.0,15.0,0.0,1.0,0.63,200.0,0.0,15.0,5.0,6.0,2.0,17.0,320.0,0.0,12455
0.48,4.0,7.0,12.0,4.0,4.0,0.83,413.0,0.0,12.0,9.0,3.0,5.0,16.0,498.0,3.0,0.52,3.0,1.0,10.0,3.0,3.0,0.87,462.0,0.0,10.0,11.0,5.0,9.0,19.0,533.0,2.0,12456
0.55,5.0,8.0,11.0,3.0,1.0,0.71,276.0,0.0,8.0,5.0,2.0,4.0,12.0,388.0,1.0,0.45,2.0,2.0,14.0,1.0,2.0,0.63,200.0,0.0,8.0,8.0,3.0,5.0,13.0,315.0,1.0,12457
