league,fixture_id,date,home_team,away_team,referee,first_home_goals,first_away_goals,match_home_goals,match_away_goals,round
Premier League,157015,2019-08-09T19:00:00+00:00,Liverpool,Norwich,M. Oliver,4,0,4,1,1
Premier League,157016,2019-08-10T11:30:00+00:00,West Ham,Manchester City,M. Dean,0,1,0,5,1
Premier League,157017,2019-08-10T14:00:00+00:00,Bournemouth,Sheffield Utd,K. Friend,0,0,1,1,1
Premier League,157018,2019-08-10T14:00:00+00:00,Burnley,Southampton,G. Scott,0,0,3,0,1
Premier League,157019,2019-08-10T14:00:00+00:00,Crystal Palace,Everton,J. Moss,0,0,0,0,1
Premier League,157021,2019-08-10T14:00:00+00:00,Watford,Brighton,C. Pawson,0,1,0,3,1
Premier League,157022,2019-08-10T16:30:00+00:00,Tottenham,Aston Villa,C. Kavanagh,0,1,3,1,1
Premier League,157020,2019-08-11T13:00:00+00:00,Leicester,Wolves,A. Marriner,0,0,0,0,1
Premier League,157023,2019-08-11T13:00:00+00:00,Newcastle,Arsenal,M. Atkinson,0,0,0,1,1
Premier League,157024,2019-08-11T15:30:00+00:00,Manchester United,Chelsea,A. Taylor,1,0,4,0,1
Premier League,157025,2019-08-17T11:30:00+00:00,Arsenal,Burnley,M. Dean,1,1,2,1,2
Premier League,157026,2019-08-17T14:00:00+00:00,Aston Villa,Bournemouth,M. Atkinson,0,2,1,2,2
Premier League,157027,2019-08-17T14:00:00+00:00,Brighton,West Ham,A. Taylor,0,0,1,1,2
Premier League,157029,2019-08-17T14:00:00+00:00,Everton,Watford,L. Mason,1,0,1,0,2
Premier League,157031,2019-08-17T14:00:00+00:00,Norwich,Newcastle,S. Attwell,1,0,3,1,2
Premier League,157033,2019-08-17T14:00:00+00:00,Southampton,Liverpool,A. Marriner,0,1,1,2,2
Premier League,157030,2019-08-17T16:30:00+00:00,Manchester City,Tottenham,M. Oliver,2,1,2,2,2
Premier League,157032,2019-08-18T13:00:00+00:00,Sheffield Utd,Crystal Palace,D. Coote,0,0,1,0,2
Premier League,157028,2019-08-18T15:30:00+00:00,Chelsea,Leicester,O. Langford,1,0,1,1,2
Premier League,157034,2019-08-19T19:00:00+00:00,Wolves,Manchester United,J. Moss,0,1,1,1,2
Premier League,157036,2019-08-23T19:00:00+00:00,Aston Villa,Everton,M. Oliver,1,0,2,0,3
Premier League,157040,2019-08-24T11:30:00+00:00,Norwich,Chelsea,M. Atkinson,2,2,2,3,3
Premier League,157037,2019-08-24T14:00:00+00:00,Brighton,Southampton,K. Friend,0,0,0,2,3
Premier League,157039,2019-08-24T14:00:00+00:00,Manchester United,Crystal Palace,P. Tierney,0,1,1,2,3
Premier League,157041,2019-08-24T14:00:00+00:00,Sheffield Utd,Leicester,A. Madley,0,1,1,2,3
