,league,fixture_id,date,home_team,away_team,referee,first_home_goals,first_away_goals,match_home_goals,match_away_goals,round
0,Primeira Liga,212126,2019-08-09T19:30:00+00:00,Portimonense,Belenenses,Manuel Mota,0,0,0,0,1
1,Primeira Liga,212123,2019-08-10T15:30:00+00:00,Santa Clara,Famalicao,Rui Oliveira,0,1,0,2,1
2,Primeira Liga,212119,2019-08-10T18:00:00+00:00,GIL Vicente,FC Porto,Nuno Miguel Serrano Almeida,0,0,2,1,1
3,Primeira Liga,212124,2019-08-10T20:30:00+00:00,Benfica,Pacos Ferreira,Manuel Oliveira,2,0,5,0,1
4,Primeira Liga,212125,2019-08-11T15:00:00+00:00,Boavista,Aves,Hélder Malheiro,1,1,2,1,1
5,Primeira Liga,212121,2019-08-11T17:30:00+00:00,Maritimo,Sporting CP,Tiago Martins,1,1,1,1,1
6,Primeira Liga,212120,2019-08-11T20:00:00+00:00,SC Braga,Moreirense,Fábio Veríssimo,1,0,3,1,1
7,Primeira Liga,212122,2019-08-12T19:15:00+00:00,Vitoria Setubal,Tondela,Vitor Ferreira,0,0,0,0,1
8,Primeira Liga,212127,2019-09-08T14:00:00+00:00,Rio Ave,Guimaraes,Hugo Miguel,1,1,1,1,1
9,Primeira Liga,212128,2019-08-16T19:30:00+00:00,Famalicao,Rio Ave,Rui Costa,0,0,1,0,2
10,Primeira Liga,212133,2019-08-17T15:30:00+00:00,Moreirense,GIL Vicente,Manuel Oliveira,2,0,3,0,2
11,Primeira Liga,212131,2019-08-17T18:00:00+00:00,Belenenses,Benfica,Fábio Veríssimo,0,0,0,2,2
12,Primeira Liga,212132,2019-08-17T20:30:00+00:00,FC Porto,Vitoria Setubal,Manuel Mota,2,0,4,0,2
13,Primeira Liga,212129,2019-08-18T15:00:00+00:00,Pacos Ferreira,Santa Clara,André Narciso,0,1,0,1,2
14,Primeira Liga,212130,2019-08-18T15:00:00+00:00,Aves,Maritimo,Jorge de Sousa,2,1,3,1,2
15,Primeira Liga,212134,2019-08-18T17:30:00+00:00,Guimaraes,Boavista,Artur Soares Dias,1,0,1,1,2
16,Primeira Liga,212135,2019-08-18T20:00:00+00:00,Sporting CP,SC Braga,Luis Godinho,2,0,2,1,2
17,Primeira Liga,212136,2019-08-19T19:15:00+00:00,Tondela,Portimonense,Hugo Miguel,0,2,1,2,2
18,Primeira Liga,212145,2019-08-23T18:00:00+00:00,Vitoria Setubal,Moreirense,Iancu Vasilica,0,0,0,0,3
19,Primeira Liga,212143,2019-08-23T20:15:00+00:00,Rio Ave,Aves,Fábio Veríssimo,2,0,5,1,3
20,Primeira Liga,212138,2019-08-24T18:00:00+00:00,Benfica,FC Porto,Jorge de Sousa,0,1,0,2,3
21,Primeira Liga,212142,2019-08-24T20:30:00+00:00,Boavista,Pacos Ferreira,Manuel Mota,1,1,1,1,3
22,Primeira Liga,212139,2019-08-25T15:00:00+00:00,Maritimo,Tondela,André Narciso,0,1,2,3,3
23,Primeira Liga,212144,2019-08-25T15:00:00+00:00,Santa Clara,Belenenses,João Pedro Pinheiro,0,0,0,0,3
24,Primeira Liga,212140,2019-08-25T17:30:00+00:00,Portimonense,Sporting CP,Carlos Xistra,1,2,1,3,3
25,Primeira Liga,212137,2019-08-25T19:30:00+00:00,GIL Vicente,SC Braga,Hugo Miguel,0,1,1,1,3
26,Primeira Liga,212141,2019-08-25T20:00:00+00:00,Guimaraes,Famalicao,Manuel Oliveira,0,0,1,1,3
27,Primeira Liga,212149,2019-08-30T18:00:00+00:00,Moreirense,Portimonense,Gustavo Correia,1,0,1,0,4
28,Primeira Liga,212148,2019-08-30T20:15:00+00:00,Belenenses,Boavista,Hugo Miguel,0,0,0,1,4
29,Primeira Liga,212147,2019-08-31T15:30:00+00:00,Pacos Ferreira,Maritimo,Rui Oliveira,0,0,0,1,4
30,Primeira Liga,212150,2019-08-31T15:30:00+00:00,Aves,Famalicao,Luis Godinho,1,1,2,3,4
31,Primeira Liga,212154,2019-08-31T18:00:00+00:00,Sporting CP,Rio Ave,João Pedro Pinheiro,1,1,2,3,4
32,Primeira Liga,212146,2019-08-31T20:30:00+00:00,GIL Vicente,Vitoria Setubal,Hélder Malheiro,0,0,0,0,4
33,Primeira Liga,212152,2019-09-01T15:00:00+00:00,Tondela,Santa Clara,Manuel Mota,0,0,0,0,4
34,Primeira Liga,212153,2019-09-01T17:30:00+00:00,FC Porto,Guimaraes,Carlos Xistra,1,0,3,0,4
35,Primeira Liga,212151,2019-09-01T20:00:00+00:00,SC Braga,Benfica,Nuno Miguel Serrano Almeida,0,1,0,4,4
36,Primeira Liga,212162,2019-09-13T19:30:00+00:00,Vitoria Setubal,SC Braga,Artur Soares Dias,0,0,1,0,5
37,Primeira Liga,212155,2019-09-14T15:30:00+00:00,Famalicao,Pacos Ferreira,António Nobre,1,0,4,2,5
38,Primeira Liga,212159,2019-09-14T18:00:00+00:00,Benfica,GIL Vicente,João Pedro Pinheiro,1,0,2,0,5
39,Primeira Liga,212160,2019-09-14T20:30:00+00:00,Guimaraes,Aves,Nuno Miguel Serrano Almeida,2,1,5,1,5
40,Primeira Liga,212157,2019-09-15T15:00:00+00:00,Santa Clara,Moreirense,Hélder Malheiro,1,0,2,0,5
41,Primeira Liga,212158,2019-09-15T15:00:00+00:00,Rio Ave,Tondela,Rui Oliveira,1,2,2,4,5
42,Primeira Liga,212161,2019-09-15T15:00:00+00:00,Maritimo,Belenenses,João Bento,0,2,1,3,5
43,Primeira Liga,212163,2019-09-15T17:00:00+00:00,Portimonense,FC Porto,Rui Costa,0,2,2,3,5
44,Primeira Liga,212156,2019-09-15T19:00:00+00:00,Boavista,Sporting CP,Jorge de Sousa,1,0,1,1,5
45,Primeira Liga,212165,2019-09-20T19:30:00+00:00,Pacos Ferreira,Aves,Cláudio Pereira,0,1,2,1,6
46,Primeira Liga,212166,2019-09-21T17:00:00+00:00,Belenenses,Rio Ave,André Narciso,0,1,0,2,6
47,Primeira Liga,212169,2019-09-21T19:30:00+00:00,Moreirense,Benfica,Artur Soares Dias,0,0,1,2,6
48,Primeira Liga,212164,2019-09-22T14:30:00+00:00,GIL Vicente,Boavista,Fábio Veríssimo,0,0,0,0,6
49,Primeira Liga,212171,2019-09-22T17:00:00+00:00,Tondela,Guimaraes,Hélder Malheiro,1,3,1,3,6
50,Primeira Liga,212172,2019-09-22T17:00:00+00:00,Vitoria Setubal,Portimonense,João Pedro Pinheiro,0,0,0,0,6
51,Primeira Liga,212170,2019-09-22T19:30:00+00:00,FC Porto,Santa Clara,Luis Godinho,2,0,2,0,6
52,Primeira Liga,212167,2019-09-23T18:00:00+00:00,SC Braga,Maritimo,Manuel Oliveira,0,1,2,2,6
53,Primeira Liga,212168,2019-09-23T20:00:00+00:00,Sporting CP,Famalicao,Hugo Miguel,1,0,1,2,6
